"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_transfer_money_beyond_limit","src.main.api.tests","Sat Nov 08 19:13:42 UTC 2025","skipped","Sat Nov 08 19:13:42 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","235","test_deposit_money[1e-06]","src.main.api.tests","Sat Nov 08 19:13:36 UTC 2025","passed","Sat Nov 08 19:13:36 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","0","test_deposit_beyond_limit","src.main.api.tests","Sat Nov 08 19:13:38 UTC 2025","skipped","Sat Nov 08 19:13:38 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","1264","test_user_can_transfer_money[chromium]","src.main.ui.tests","Sat Nov 08 19:13:55 UTC 2025","passed","Sat Nov 08 19:13:57 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","628","test_deposit_invalid_amount[chromium-5001-Please deposit less or equal to 5000]","src.main.ui.tests","Sat Nov 08 19:14:03 UTC 2025","passed","Sat Nov 08 19:14:04 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","79","test_change_name_to_invalid[Dickerson]","src.main.api.tests","Sat Nov 08 19:13:33 UTC 2025","passed","Sat Nov 08 19:13:33 UTC 2025","TestChangeName","change_name_test","",""
"","1071","test_user_can_not_transfer_money_with_invalid_form[chromium-args3-Please fill all fields and confirm-False]","src.main.ui.tests","Sat Nov 08 19:14:07 UTC 2025","passed","Sat Nov 08 19:14:08 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","1026","test_user_can_not_transfer_money_with_invalid_form[chromium-args2-Please fill all fields and confirm-False]","src.main.ui.tests","Sat Nov 08 19:14:05 UTC 2025","passed","Sat Nov 08 19:14:06 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","236","test_transfer_without_access_to_account","src.main.api.tests","Sat Nov 08 19:13:43 UTC 2025","passed","Sat Nov 08 19:13:43 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","82","test_create_account","src.main.api.tests","Sat Nov 08 19:13:35 UTC 2025","passed","Sat Nov 08 19:13:35 UTC 2025","TestCreateAccount","create_account_test","",""
"","1040","test_user_can_not_transfer_money_with_invalid_form[chromium-args5-Please fill all fields and confirm-False]","src.main.ui.tests","Sat Nov 08 19:14:11 UTC 2025","passed","Sat Nov 08 19:14:12 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
